    tmt1 tmt2        var     mean1     mean2     pop.sd std.eff.sz     p    ks ks.pval stop.method
1      1    2     HIN_97     0.871     0.846      0.342      0.072 0.022 0.025   0.511         unw
2      1    2   Hispanic     0.212     0.205      0.409      0.016 0.590 0.007   1.000         unw
3      1    2    Other_R     0.145     0.140      0.351      0.014 0.639 0.005   1.000         unw
4      1    2      Black     0.258     0.291      0.442      0.074 0.016 0.033   0.183         unw
5      1    2       Male     0.473     0.668      0.500      0.388 0.000 0.194   0.000         unw
6      1    2      AGE97    14.410    14.254      1.481      0.105 0.000 0.047   0.013         unw
7      1    2     Sample     1.246     1.249      0.433      0.008 0.792 0.003   1.000         unw
8      1    2      PIB16     0.054     0.101      0.244      0.191 0.000 0.047   0.015         unw
9      1    2     BMEA97    12.493    12.125      2.919      0.126 0.000 0.067   0.000         unw
10     1    2     BFEA97    12.506    11.929      3.193      0.181 0.000 0.092   0.000         unw
11     1    2 RPHEALTH97     3.707     3.572      1.098      0.123 0.000 0.054   0.003         unw
12     1    2       HT97     0.049     0.059      0.223      0.044 0.158 0.010   1.000         unw
13     1    2     HHNW97 97814.108 74388.496 139133.930      0.168 0.000 0.109   0.000         unw
14     1    2      BBPHH     0.520     0.372      0.500      0.295 0.000 0.148   0.000         unw
15     1    2       CC1Y     0.283     0.285      0.449      0.006 0.838 0.003   1.000         unw
16     1    2     PPSM97     2.549     2.838      1.283      0.225 0.000 0.089   0.000         unw
17     1    2     PPDR97     2.085     2.308      1.244      0.180 0.000 0.075   0.000         unw
18     1    2     PPIG97     1.541     1.774      0.978      0.238 0.000 0.105   0.000         unw
19     1    2     PPID97     2.219     2.615      1.307      0.303 0.000 0.136   0.000         unw
20     1    2     PPHS97     2.385     2.728      1.328      0.258 0.000 0.123   0.000         unw
21     1    2     THAS97     0.783     1.799      5.201      0.195 0.000 0.142   0.000         unw
22     1    2     PFAS97     0.280     0.799      1.697      0.306 0.000 0.175   0.000         unw
23     1    2      LFS97     1.981     4.182      7.011      0.314 0.000 0.160   0.000         unw
24     1    2     ABFS97     4.384     6.662      7.568      0.301 0.000 0.131   0.000         unw
25     1    2    RTGAS97     3.049     2.886      0.623      0.261 0.000 0.087   0.000         unw
26     1    2    RDFAS97     2.852     2.651      0.782      0.257 0.000 0.108   0.000         unw
27     1    3     HIN_97     0.871     0.806      0.342      0.190 0.031 0.065   0.463         unw
28     1    3   Hispanic     0.212     0.274      0.409      0.153 0.066 0.063   0.514         unw
29     1    3    Other_R     0.145     0.166      0.351      0.059 0.464 0.021   1.000         unw
30     1    3      Black     0.258     0.366      0.442      0.243 0.003 0.108   0.038         unw
31     1    3       Male     0.473     0.754      0.500      0.562 0.000 0.281   0.000         unw
32     1    3      AGE97    14.410    14.274      1.481      0.091 0.200 0.083   0.186         unw
33     1    3     Sample     1.246     1.343      0.433      0.225 0.007 0.097   0.079         unw
34     1    3      PIB16     0.054     0.160      0.244      0.434 0.000 0.106   0.043         unw
35     1    3     BMEA97    12.493    11.429      2.919      0.365 0.000 0.177   0.000         unw
36     1    3     BFEA97    12.506    10.829      3.193      0.525 0.000 0.238   0.000         unw
37     1    3 RPHEALTH97     3.707     3.303      1.098      0.368 0.000 0.176   0.000         unw
38     1    3       HT97     0.049     0.091      0.223      0.190 0.054 0.042   0.921         unw
39     1    3     HHNW97 97814.108 48621.851 139133.930      0.354 0.000 0.225   0.000         unw
40     1    3      BBPHH     0.520     0.217      0.500      0.606 0.000 0.303   0.000         unw
41     1    3       CC1Y     0.283     0.206      0.449      0.171 0.013 0.077   0.264         unw
42     1    3     PPSM97     2.549     2.926      1.283      0.294 0.000 0.120   0.015         unw
43     1    3     PPDR97     2.085     2.366      1.244      0.226 0.006 0.093   0.106         unw
44     1    3     PPIG97     1.541     2.023      0.978      0.493 0.000 0.224   0.000         unw
45     1    3     PPID97     2.219     2.817      1.307      0.458 0.000 0.197   0.000         unw
46     1    3     PPHS97     2.385     3.097      1.328      0.536 0.000 0.213   0.000         unw
47     1    3     THAS97     0.783     2.480      5.201      0.326 0.033 0.138   0.003         unw
48     1    3     PFAS97     0.280     1.600      1.697      0.778 0.000 0.370   0.000         unw
49     1    3      LFS97     1.981     5.846      7.011      0.551 0.000 0.315   0.000         unw
50     1    3     ABFS97     4.384    10.309      7.568      0.783 0.000 0.196   0.000         unw
51     1    3    RTGAS97     3.049     2.709      0.623      0.547 0.000 0.182   0.000         unw
52     1    3    RDFAS97     2.852     2.537      0.782      0.403 0.000 0.195   0.000         unw
53     1    4     HIN_97     0.871     0.761      0.342      0.320 0.008 0.109   0.153         unw
54     1    4   Hispanic     0.212     0.193      0.409      0.047 0.618 0.019   1.000         unw
55     1    4    Other_R     0.145     0.101      0.351      0.125 0.131 0.044   0.985         unw
56     1    4      Black     0.258     0.413      0.442      0.350 0.001 0.155   0.012         unw
57     1    4       Male     0.473     0.807      0.500      0.668 0.000 0.334   0.000         unw
58     1    4      AGE97    14.410    14.073      1.481      0.227 0.016 0.103   0.202         unw
59     1    4     Sample     1.246     1.330      0.433      0.196 0.062 0.085   0.425         unw
60     1    4      PIB16     0.054     0.119      0.244      0.267 0.036 0.065   0.750         unw
61     1    4     BMEA97    12.493    11.394      2.919      0.376 0.000 0.208   0.000         unw
62     1    4     BFEA97    12.506    11.101      3.193      0.440 0.000 0.189   0.001         unw
63     1    4 RPHEALTH97     3.707     3.211      1.098      0.452 0.000 0.171   0.004         unw
64     1    4       HT97     0.049     0.119      0.223      0.315 0.025 0.070   0.668         unw
65     1    4     HHNW97 97814.108 42611.817 139133.930      0.397 0.000 0.243   0.000         unw
66     1    4      BBPHH     0.520     0.229      0.500      0.582 0.000 0.291   0.000         unw
67     1    4       CC1Y     0.283     0.229      0.449      0.119 0.190 0.053   0.921         unw
68     1    4     PPSM97     2.549     3.083      1.283      0.416 0.000 0.186   0.001         unw
69     1    4     PPDR97     2.085     2.394      1.244      0.249 0.020 0.138   0.034         unw
70     1    4     PPIG97     1.541     2.083      0.978      0.554 0.000 0.184   0.001         unw
71     1    4     PPID97     2.219     2.697      1.307      0.366 0.001 0.144   0.023         unw
72     1    4     PPHS97     2.385     2.917      1.328      0.401 0.000 0.191   0.001         unw
73     1    4     THAS97     0.783     1.110      5.201      0.063 0.236 0.129   0.055         unw
74     1    4     PFAS97     0.280     1.606      1.697      0.781 0.000 0.348   0.000         unw
75     1    4      LFS97     1.981     4.606      7.011      0.374 0.004 0.217   0.000         unw
76     1    4     ABFS97     4.384     9.761      7.568      0.711 0.000 0.233   0.000         unw
77     1    4    RTGAS97     3.049     2.725      0.623      0.521 0.000 0.169   0.004         unw
78     1    4    RDFAS97     2.852     2.771      0.782      0.104 0.310 0.077   0.548         unw
79     2    3     HIN_97     0.846     0.806      0.342      0.119 0.198 0.041   0.961         unw
80     2    3   Hispanic     0.205     0.274      0.409      0.169 0.052 0.069   0.451         unw
81     2    3    Other_R     0.140     0.166      0.351      0.073 0.387 0.026   1.000         unw
82     2    3      Black     0.291     0.366      0.442      0.170 0.052 0.075   0.349         unw
83     2    3       Male     0.668     0.754      0.500      0.173 0.014 0.087   0.197         unw
84     2    3      AGE97    14.254    14.274      1.481      0.013 0.858 0.036   0.989         unw
85     2    3     Sample     1.249     1.343      0.433      0.217 0.013 0.094   0.132         unw
86     2    3      PIB16     0.101     0.160      0.244      0.243 0.041 0.059   0.648         unw
87     2    3     BMEA97    12.125    11.429      2.919      0.239 0.005 0.111   0.046         unw
88     2    3     BFEA97    11.929    10.829      3.193      0.345 0.000 0.146   0.003         unw
89     2    3 RPHEALTH97     3.572     3.303      1.098      0.245 0.003 0.123   0.019         unw
90     2    3       HT97     0.059     0.091      0.223      0.145 0.155 0.032   0.997         unw
91     2    3     HHNW97 74388.496 48621.851 139133.930      0.185 0.001 0.127   0.014         unw
92     2    3      BBPHH     0.372     0.217      0.500      0.311 0.000 0.155   0.001         unw
93     2    3       CC1Y     0.285     0.206      0.449      0.177 0.016 0.080   0.280         unw
94     2    3     PPSM97     2.838     2.926      1.283      0.068 0.408 0.033   0.997         unw
95     2    3     PPDR97     2.308     2.366      1.244      0.046 0.595 0.021   1.000         unw
96     2    3     PPIG97     1.774     2.023      0.978      0.255 0.009 0.119   0.025         unw
97     2    3     PPID97     2.615     2.817      1.307      0.155 0.087 0.061   0.608         unw
98     2    3     PPHS97     2.728     3.097      1.328      0.278 0.001 0.106   0.064         unw
99     2    3     THAS97     1.799     2.480      5.201      0.131 0.408 0.038   0.980         unw
100    2    3     PFAS97     0.799     1.600      1.697      0.472 0.002 0.195   0.000         unw
101    2    3      LFS97     4.182     5.846      7.011      0.237 0.063 0.157   0.001         unw
102    2    3     ABFS97     6.662    10.309      7.568      0.482 0.003 0.122   0.020         unw
103    2    3    RTGAS97     2.886     2.709      0.623      0.286 0.004 0.094   0.128         unw
104    2    3    RDFAS97     2.651     2.537      0.782      0.146 0.121 0.086   0.201         unw
105    2    4     HIN_97     0.846     0.761      0.342      0.248 0.044 0.085   0.463         unw
106    2    4   Hispanic     0.205     0.193      0.409      0.031 0.751 0.012   1.000         unw
